work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,company_location,company_size
0.859977319,2,2,44,-0.161365115,16,8,0.714862031,6,2
-0.586023325,0,2,12,-0.158124853,16,55,0.714862031,48,1
-2.032023969,2,2,17,-0.16784564,7,2,-0.514376645,2,0
0.859977319,2,2,12,-0.197008003,16,21,0.714862031,19,2
0.859977319,2,2,38,-0.132202752,16,55,0.714862031,48,2
-0.586023325,0,3,12,-0.204292113,7,18,-0.514376645,16,1
0.859977319,3,2,12,-0.145163802,16,55,0.714862031,48,1
0.859977319,3,2,16,-0.037327865,16,55,0.714862031,48,1
-0.586023325,2,2,17,-0.207376843,16,29,0.714862031,27,1
-0.586023325,0,2,38,-0.197008003,16,27,0.714862031,25,2
-0.586023325,0,3,1,-0.202192423,16,7,0.714862031,48,2
0.859977319,0,0,4,-0.19117553,7,52,0.714862031,11,1
-0.586023325,2,2,22,-0.106280652,14,50,0.714862031,24,1
0.859977319,3,2,17,-0.149246533,16,55,0.714862031,48,1
-0.586023325,3,2,17,-0.16784564,7,47,-0.514376645,18,2
0.859977319,3,2,17,-0.128314437,16,55,0.714862031,48,1
0.859977319,3,2,17,-0.138359251,16,55,0.714862031,48,1
0.859977319,3,2,22,-0.041475401,16,55,0.714862031,48,1
0.859977319,3,2,48,-0.116649492,16,55,-0.514376645,48,0
-0.586023325,2,2,38,-0.184046953,7,18,0.714862031,16,2
